Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpRiskPercent,InpSL_ATR_Mult,InpTP_ATR_Mult,InpTrailStartMult,InpTrailStepMult,InpBreakEvenMult,InpFastEMA,InpSlowEMA,InpRSIPeriod,InpRSILow,InpRSIHigh,InpATRPeriodSlow,InpCooldownBars,InpMaxSpreadPoints,InpMaxSlippagePoints,InpStartHour,InpEndHour
6281,82401.64,416.75,46.305556,927.111111,5.425726,5.167004,82401.636379571937,0.7433,9,0.75,2.00,3.00,0.50,0.75,0.9,18,300,8,46,60,65,1,26,4,23,15
6259,71200.88,800.09,88.898889,801.090000,4.746055,5.188808,71200.879912008779,1.5809,9,1.00,1.25,3.75,0.50,0.75,1.8,16,280,8,46,60,65,1,26,2,23,15
6126,68224.87,467.63,51.958889,767.606557,4.576084,4.281405,68224.871501920847,0.9867,9,1.00,2.00,3.00,0.50,0.75,0.9,18,300,9,46,59,55,6,20,2,2,15
6257,68224.87,467.63,51.958889,767.606557,4.576084,4.281405,68224.871501920847,0.9867,9,1.00,2.00,3.00,0.50,0.75,0.9,18,300,9,46,59,55,6,28,3,2,13
6327,68224.87,467.63,51.958889,767.606557,4.576084,4.281405,68224.871501920847,0.9867,9,1.00,2.00,3.00,0.50,0.75,0.9,18,300,9,46,59,55,6,20,2,2,13
6210,68085.33,627.33,69.703333,766.036585,4.524232,5.792241,68085.332388170413,1.3147,9,1.00,1.50,2.00,0.50,0.75,0.9,18,300,8,46,60,55,3,36,9,2,13
6393,68085.33,627.33,69.703333,766.036585,4.524232,5.792241,68085.332388170413,1.3147,9,1.00,1.50,2.00,0.50,0.75,0.9,18,300,8,46,60,75,8,36,9,2,13
6142,67936.38,465.65,51.738889,764.360656,4.527027,5.748676,67936.375761330972,0.9884,9,0.75,1.50,2.00,0.50,0.75,0.9,18,300,8,46,60,65,2,26,4,23,13
6326,67936.38,465.65,51.738889,764.360656,4.527027,5.748676,67936.375761330972,0.9884,9,0.75,1.50,2.00,0.50,0.75,0.9,18,300,8,46,60,65,1,26,4,23,13
6332,67453.08,788.24,87.582222,758.923077,4.500885,5.768239,67453.083751453916,1.6386,9,1.25,1.50,2.00,0.50,0.75,0.9,18,300,8,46,60,65,5,30,2,2,15
6397,67453.08,788.24,87.582222,758.923077,4.500885,5.768239,67453.083751453916,1.6386,9,1.25,1.50,2.00,0.50,0.75,0.9,18,300,8,46,60,65,5,30,2,2,13
6292,65848.57,960.88,53.382222,697.289855,6.569221,18.352491,65848.568122253811,1.3674,18,1.00,2.00,3.00,0.75,0.85,1.5,18,300,8,47,59,55,6,30,9,23,13
6028,64545.50,587.32,58.732000,717.243902,4.235684,6.336183,64545.496669845226,1.3197,10,1.00,1.50,2.00,0.50,0.75,0.9,18,300,9,47,59,55,6,30,2,2,15
6299,63703.67,443.54,55.442500,728.114754,4.340346,3.032284,63703.670616544914,0.9890,8,1.00,2.00,3.00,0.50,0.75,0.9,18,300,8,46,60,65,1,26,4,7,13
6262,63132.95,928.03,58.001875,673.485507,8.256495,19.253288,63132.953009046927,1.0386,16,1.00,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,80,8,14,9,22,13
6277,63132.95,928.03,58.001875,673.485507,8.256495,19.253288,63132.953009046927,1.0386,16,1.00,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,80,8,14,10,23,13
6374,63132.95,928.03,58.001875,673.485507,8.256495,19.253288,63132.953009046927,1.0386,16,1.00,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,55,6,30,9,23,13
6141,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,60,2,26,4,23,13
6151,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,55,8,26,4,23,13
6156,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.8,14,280,8,46,59,60,2,40,4,23,13
6164,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,75,8,14,10,23,13
6254,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.8,14,260,8,46,59,75,8,28,4,23,13
6297,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,55,6,26,4,23,13
6338,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.5,18,300,8,46,59,75,8,36,4,23,13
6381,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.8,16,280,8,46,59,75,1,14,10,23,13
6382,62761.19,681.89,42.618125,669.519608,8.283406,19.255798,62761.187116582463,0.7763,16,0.75,2.00,3.00,0.75,0.85,1.8,18,300,8,46,59,60,2,40,4,23,13
6157,61981.63,1525.07,95.316875,661.203463,8.026684,19.258164,61981.626512673414,1.6752,16,1.00,1.25,3.00,0.75,0.85,1.8,14,280,8,46,59,75,8,14,10,23,13
6174,59563.49,1199.03,74.939375,635.407407,7.727700,19.256736,59563.488095634879,1.3978,16,2.00,3.00,3.75,0.75,0.85,1.8,14,280,8,46,59,75,8,14,10,23,13
6175,59563.49,1199.03,74.939375,635.407407,7.727700,19.256736,59563.488095634879,1.3978,16,2.00,3.00,3.75,0.75,0.85,1.8,16,280,8,46,59,75,8,14,10,23,13
5940,58702.52,646.28,71.808889,660.469388,3.885996,4.276808,58702.519770698666,1.5821,9,1.00,1.25,3.75,0.50,0.75,1.8,16,260,9,46,59,80,8,14,10,23,15
5948,58702.52,646.28,71.808889,660.469388,3.885996,4.276808,58702.519770698666,1.5821,9,1.00,1.25,3.75,0.50,0.75,0.9,18,300,9,46,59,55,8,40,6,22,13
6173,58702.52,646.28,71.808889,660.469388,3.885996,4.276808,58702.519770698666,1.5821,9,1.00,1.25,3.75,0.50,0.75,1.8,16,280,9,46,59,80,8,14,10,23,15
6275,58702.52,646.28,71.808889,660.469388,3.885996,4.276808,58702.519770698666,1.5821,9,1.00,1.25,3.75,0.50,0.75,1.8,16,280,9,46,59,55,6,14,9,23,13
6340,58488.87,400.81,44.534444,658.065574,3.922204,4.274032,58488.868781610006,0.9904,9,1.00,2.00,3.75,0.50,0.75,0.9,18,300,9,46,59,55,6,30,2,6,13
6378,58488.87,400.81,44.534444,658.065574,3.922204,4.274032,58488.868781610006,0.9904,9,1.00,2.00,3.75,0.50,0.75,0.9,18,300,9,46,59,55,3,36,9,2,13
5002,57632.01,258.97,28.774444,648.425000,3.861766,4.468352,57632.014576320144,0.6561,9,1.00,3.00,2.00,0.50,0.75,0.9,18,300,9,46,59,75,8,14,10,7,13
